"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
1,54,70,"B0BSFNS2J1",true,899,"INR",2499,1600,64.03,181,3.7,"https://www.amazon.in/dp/B0BSFNS2J1","669.70",false,false,false,true,"Shiv Textiles Women's Polyester Ready To Wear Saree With Golden Belt Or Unstitched Blouse Piece.","https://m.media-amazon.com/images/I/51iPxevl9sL._AC_UL320_.jpg"
1,55,71,"B09X1FR1J7",true,199,"INR",699,500,71.53,76,3.9,"https://www.amazon.in/dp/B09X1FR1J7","296.40",false,false,false,false,"Women Sports Shorts, Dancing Workout, Running Yoga Shorts Pant/Shorts for Women's/Girl's Stylish-Black","https://m.media-amazon.com/images/I/3103rHZIvzL._AC_UL320_.jpg"
1,56,72,"B09TJC25NC",true,379,"INR",2299,1920,83.51,2205,3.6,"https://www.amazon.in/dp/B09TJC25NC","7938.00",false,false,false,false,"GRECIILOOKS Women's Rayon Full Sleeve A-Line Knee-Length Western Dresses for Women or Girls Western Dress","https://m.media-amazon.com/images/I/71qut3JXCoL._AC_UL320_.jpg"
1,57,73,"B07931P114",true,331,"INR",1080,749,69.35,4279,4,"https://www.amazon.in/dp/B07931P114","17116.00",false,false,false,false,"Sponsored Ad - BLINKIN Women's Skinny Fit Trackpants","https://m.media-amazon.com/images/I/61aCpDyJp0L._AC_UL320_.jpg"
1,58,74,"B0B3MQ8ZRJ",true,749,"INR",2299,1550,67.42,10,3.8,"https://www.amazon.in/dp/B0B3MQ8ZRJ","38.00",false,false,false,true,"Sponsored Ad - Janasya Women's Dark Blue Cotton Floral Print Flared Kurta","https://m.media-amazon.com/images/I/81wZ2x1iZSL._AC_UL320_.jpg"
1,59,75,"B0B3MPKTYP",true,929,"INR",2299,1370,59.59,32,4.3,"https://www.amazon.in/dp/B0B3MPKTYP","137.60",false,false,false,true,"Sponsored Ad - Janasya Women's Navy Blue Cotton Floral Print Flared Kurta","https://m.media-amazon.com/images/I/81SS8CbvJwL._AC_UL320_.jpg"
1,60,76,"B07MYZHL82",true,427,"INR",799,372,46.56,657,4,"https://www.amazon.in/dp/B07MYZHL82","2628.00",false,false,false,false,"Sponsored Ad - The Headscarves Women's Viscose Sleep Cap","https://m.media-amazon.com/images/I/71osUEgV58L._AC_UL320_.jpg"
2,9,77,"B014CLL42U",false,329,"INR",0,0,0,10273,4.2,"https://www.amazon.in/dp/B014CLL42U","43146.60",false,false,false,false,"Jockey 1467 Women's Super Combed Cotton Rib Fabric Slim Fit Solid Racerback Styled Tank Top","https://m.media-amazon.com/images/I/712mDx1kwxL._AC_UL400_.jpg"
2,10,78,"B08VRQ7278",true,474,"INR",1499,1025,68.38,1885,4.1,"https://www.amazon.in/dp/B08VRQ7278","7728.50",false,false,false,false,"CHKOKKO Double Layered Sports Gym Workout Running Shorts for Women","https://m.media-amazon.com/images/I/61OV7ih8QuL._AC_UL400_.jpg"
2,11,79,"B0BTDB53K7",true,494,"INR",1999,1505,75.29,43,3.6,"https://www.amazon.in/dp/B0BTDB53K7","154.80",false,false,false,true,"Zilcon Women's Waffle (Cotton) Round Neck Long Sleeve Tunic Tops with Oversized Casual T Shirts for Women Womens Loose Top...","https://m.media-amazon.com/images/I/61r8maSIlBL._AC_UL400_.jpg"
