"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
1,31,46,"B09H34KYW5",true,599,"INR",1499,900,60.04,3012,3.8,"https://www.amazon.in/dp/B09H34KYW5","11445.60",false,false,false,false,"EIO Boys and Girls Cotton Pajama Pants","https://m.media-amazon.com/images/I/71DUqZSdC0S._AC_UL400_.jpg"
1,32,47,"B0B34VKJWB",true,559,"INR",1999,1440,72.04,2990,3.7,"https://www.amazon.in/dp/B0B34VKJWB","11063.00",false,false,false,true,"Bold N Elegant - Be Bold Inside & Elegant Outside Baby Boy's Cotton Tshirt Pant Set","https://m.media-amazon.com/images/I/51+pCYqU4iL._AC_UL400_.jpg"
1,33,48,"B097789WXT",true,569,"INR",2499,1930,77.23,44,4,"https://www.amazon.in/dp/B097789WXT","176.00",false,false,false,true,"Wish Karo Cotton Clothing Sets For Baby Boys-(bt76nw)","https://m.media-amazon.com/images/I/51F-lv2DsLS._AC_UL400_.jpg"
1,34,49,"B096F7XLFY",true,499,"INR",1400,901,64.36,105,3.7,"https://www.amazon.in/dp/B096F7XLFY","388.50",false,false,false,true,"Googogaaga Boy's Cotton Printed T-Shirt with Shorts in Red Color","https://m.media-amazon.com/images/I/51nP0jmR3HL._AC_UL400_.jpg"
1,35,50,"B0742NBY16",false,12277,"INR",0,0,0,16651,4.6,"https://www.amazon.in/dp/B0742NBY16","76594.60",false,false,false,false,"Lazy One Women's Leggings and Tees, Pajama Separates, Cozy Loungewear for Women","https://m.media-amazon.com/images/I/61ElZzoBO7S._AC_UL400_.jpg"
1,36,51,"B08GCZ1L69",true,539,"INR",799,260,32.54,5,3.2,"https://www.amazon.in/dp/B08GCZ1L69","16.00",false,false,false,true,"Hopscotch Boys Pink Animal Print T-Shirt and Shorts Set for 110/70 (3-4 Yrs) (YYZ-3121497)","https://m.media-amazon.com/images/I/51dNC0JcOIL._AC_UL400_.jpg"
1,37,52,"B08FRLQW1B",true,767,"INR",1299,532,40.95,402,3.8,"https://www.amazon.in/dp/B08FRLQW1B","1527.60",false,false,false,true,"Hopscotch Boys Formal Set","https://m.media-amazon.com/images/I/61beW6VlfrL._AC_UL400_.jpg"
1,40,55,"B08JTVJBGP",true,588,"INR",1599,1011,63.23,1,5,"https://www.amazon.in/dp/B08JTVJBGP","5.00",false,false,false,true,"A.T.U.N Girls Red Hippo- Grey Melange Ruffle Nighsuit","https://m.media-amazon.com/images/I/71PKZ0OsFQL._AC_UL400_.jpg"
1,41,56,"B0BPC28V9P",true,599,"INR",1999,1400,70.04,2,4.5,"https://www.amazon.in/dp/B0BPC28V9P","9.00",false,false,false,true,"Bold N Elegant Kids Cartoon Stripe Print Cotton Half Sleeve T-shirt and Shorts Clothing Set for Infant Toddler Baby Boy Girl","https://m.media-amazon.com/images/I/411oOEyK6sL._AC_UL400_.jpg"
1,42,57,"B09RMTJVR1",true,549,"INR",1499,950,63.38,25,3.6,"https://www.amazon.in/dp/B09RMTJVR1","90.00",false,false,false,true,"Bold N Elegant Half Sleeve Cute Funny Jungle Animal Cartoon Dinosaur Print Cotton Tshirt and Plaid Shorts Set for Infant T...","https://m.media-amazon.com/images/I/51-IAP45SyL._AC_UL400_.jpg"
