"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime","title","thumbnail"
2,53,121,"B0B6QJD1MN",true,584,"INR",1199,615,51.29,161,3.9,"https://www.amazon.in/dp/B0B6QJD1MN","627.90",false,false,false,true,"Oysters Men's 2 In 1 Running Quick Dry Shorts Gym Athletic Workout Shorts For Men With Phone Pockets","https://m.media-amazon.com/images/I/61SY1s3YCdL._AC_UL400_.jpg"
2,54,122,"B00W05QSGI",true,1149,"INR",1199,50,4.17,1614,4.2,"https://www.amazon.in/dp/B00W05QSGI","6778.80",false,false,false,false,"Jockey Mens Straight-fit Track Pants","https://m.media-amazon.com/images/I/5174joR-ImL._AC_UL400_.jpg"
2,55,123,"B088RGMZF4",true,381,"INR",999,618,61.86,344,3.6,"https://www.amazon.in/dp/B088RGMZF4","1238.40",false,false,false,false,"SHAUN Men's Regular Fit Track pants","https://m.media-amazon.com/images/I/81NqBhgsDpL._AC_UL400_.jpg"
2,56,124,"B0BSRXVHBJ",true,1200,"INR",3999,2799,69.99,13,3.9,"https://www.amazon.in/dp/B0BSRXVHBJ","50.70",false,false,false,true,"Red Tape Cotton Solid Casual Joggers for Men | Comfortable & Breathable","https://m.media-amazon.com/images/I/51BX90sxZ0L._AC_UL400_.jpg"
2,57,125,"B0B6QDFLKP",true,584,"INR",1199,615,51.29,161,3.9,"https://www.amazon.in/dp/B0B6QDFLKP","627.90",false,false,false,true,"Sponsored Ad - Oysters Men's 2 In 1 Running Quick Dry Shorts Gym Athletic Workout Shorts For Men With Phone Pockets","https://m.media-amazon.com/images/I/61e0rDMnwZL._AC_UL400_.jpg"
2,58,126,"B0BVMQSXRQ",true,499,"INR",1299,800,61.59,4,1.5,"https://www.amazon.in/dp/B0BVMQSXRQ","6.00",false,false,false,false,"Sponsored Ad - DYRECTDEALS Men's Regular Fit Striped Polo T-Shirts","https://m.media-amazon.com/images/I/81yEUQQZCmL._AC_UL400_.jpg"
2,59,127,"B0B9SXDLN8",true,718,"INR",799,81,10.14,12,4,"https://www.amazon.in/dp/B0B9SXDLN8","48.00",false,false,false,true,"Sponsored Ad - U.S. POLO ASSN. Men Vest","https://m.media-amazon.com/images/I/519rBSdJVqL._AC_UL400_.jpg"
2,60,128,"B073ZJM413",true,442.06,"INR",1199,756.94,63.13,7442,3.8,"https://www.amazon.in/dp/B073ZJM413","28279.60",false,false,false,false,"Sponsored Ad - Amazon Brand - Symbol Men Formal Shirt","https://m.media-amazon.com/images/I/71AtRc6-0-L._AC_UL400_.jpg"
3,9,129,"B09B2BRGPQ",true,149,"INR",599,450,75.13,1681,4,"https://www.amazon.in/dp/B09B2BRGPQ","6724.00",false,false,false,false,"Boldfit Gym Headband for Men and Women - Sports Headband for Workout & Running, Breathable, Non-Slip & Quick Drying Head B...","https://m.media-amazon.com/images/I/71nBw7m1daL._AC_UL400_.jpg"
3,10,130,"B0BFR58P45",true,549,"INR",999,450,45.05,430,3.6,"https://www.amazon.in/dp/B0BFR58P45","1548.00",false,false,false,true,"ENDEAVOUR WEAR Men's Winter Wear Sweatshirt","https://m.media-amazon.com/images/I/61XpNA2ydAL._AC_UL400_.jpg"
3,11,131,"B074Y1P75H",true,499,"INR",1299,800,61.59,2186,4,"https://www.amazon.in/dp/B074Y1P75H","8744.00",false,false,false,true,"Alan Jones Clothing Men's Slim Fit Trackpants","https://m.media-amazon.com/images/I/81YaFIeBeYL._AC_UL400_.jpg"
3,12,132,"B0B4JN6KVW",true,899,"INR",1599,700,43.78,80,4.2,"https://www.amazon.in/dp/B0B4JN6KVW","336.00",false,false,false,true,"maikun Nylon Belt for Men, Casual Tactical Quick-Release Slide Belt Auto Lock","https://m.media-amazon.com/images/I/71PQ-vZ5EuL._AC_UL400_.jpg"
3,13,133,"B0BN5KT2NQ",true,246,"INR",1499,1253,83.59,5229,4,"https://www.amazon.in/dp/B0BN5KT2NQ","20916.00",false,false,false,false,"ZORO Men's Nylon woven fabric Belt, Hole free plastic flap buckle","https://m.media-amazon.com/images/I/61TjAFAn-oL._AC_UL400_.jpg"
3,15,135,"B09RPS9V2B",true,1199,"INR",2749,1550,56.38,8,3.7,"https://www.amazon.in/dp/B09RPS9V2B","29.60",false,false,false,true,"Arvind Men's Cotton Corduroy 1.30 Meter Unstitched Corduroy Trouser Fabric (White)","https://m.media-amazon.com/images/I/61kJGQ9cJSL._AC_UL400_.jpg"
3,16,136,"B07SVMHF7Y",true,721,"INR",3000,2279,75.97,76,3.4,"https://www.amazon.in/dp/B07SVMHF7Y","258.40",false,false,false,true,"Maharaja Set of Unstitched Fabric Cotton Handloom Kurta (2.5m - 54Panna) and Pyjama (2m) Set [4 Varients]","https://m.media-amazon.com/images/I/71HmIF8McIL._AC_UL400_.jpg"
3,17,137,"B01I78XTIQ",true,1090,"INR",1999,909,45.47,40,3.5,"https://www.amazon.in/dp/B01I78XTIQ","140.00",false,false,false,true,"Arvind Men's Cotton Denim Unstitched Jeans Fabric (Black, Free Size)","https://m.media-amazon.com/images/I/61CLUh2C0JL._AC_UL400_.jpg"
3,18,138,"B07MS1N9WD",true,549,"INR",999,450,45.05,248,3.5,"https://www.amazon.in/dp/B07MS1N9WD","868.00",false,false,false,true,"Whitewhale Men's Loose Fit Pants","https://m.media-amazon.com/images/I/615npdiC0bL._AC_UL400_.jpg"
3,19,139,"B0BZKWDHRB",true,649,"INR",1499,850,56.7,3,4.6,"https://www.amazon.in/dp/B0BZKWDHRB","13.80",false,false,false,true,"Alan Jones Clothing Men's Printed Cotton Joggers Track Pant","https://m.media-amazon.com/images/I/7117wzt+EXL._AC_UL400_.jpg"
3,20,140,"B086DV5W32",true,249,"INR",699,450,64.38,157,3.7,"https://www.amazon.in/dp/B086DV5W32","580.90",false,false,false,true,"BISMAADH Cap Helmet Liner for Men - Fits Under Helmets","https://m.media-amazon.com/images/I/71snUbYT9mL._AC_UL400_.jpg"
3,21,141,"B01E2Y07LQ",true,764,"INR",2999,2235,74.52,6459,3.6,"https://www.amazon.in/dp/B01E2Y07LQ","23252.40",false,false,false,true,"Sponsored Ad - 0-DEGREE Men's Running Shorts","https://m.media-amazon.com/images/I/51hH3cl6-VL._AC_UL400_.jpg"
3,22,142,"B083C2GFWL",true,899,"INR",1219,320,26.25,1898,4,"https://www.amazon.in/dp/B083C2GFWL","7592.00",false,false,false,true,"Sponsored Ad - Van Heusen Men's Track Pants","https://m.media-amazon.com/images/I/81eQleWjVoL._AC_UL400_.jpg"
3,23,143,"B07SG3R8V6",true,369,"INR",1099,730,66.42,22664,3.9,"https://www.amazon.in/dp/B07SG3R8V6","88389.60",false,false,false,false,"Sponsored Ad - Amazon Brand - Symbol Men Polo Shirt","https://m.media-amazon.com/images/I/81h32NQvVuL._AC_UL400_.jpg"
3,24,144,"B073WCXDKX",true,518,"INR",588,70,11.9,10534,4.1,"https://www.amazon.in/dp/B073WCXDKX","43189.40",false,false,false,true,"Sponsored Ad - Van Heusen Men Boxer Briefs - 100% Combed Cotton - Pack of 2 - Anti Bacterial, Colour Fresh, Quick Dry","https://m.media-amazon.com/images/I/71kQCZoQrZL._AC_UL400_.jpg"
3,25,145,"B07RP6N9V8",true,944,"INR",1999,1055,52.78,339,3.8,"https://www.amazon.in/dp/B07RP6N9V8","1288.20",false,false,false,true,"Arvind Men's Stretchable Un-Stitched Corduroy Trouser Fabric","https://m.media-amazon.com/images/I/811MAz2M25L._AC_UL400_.jpg"
3,26,146,"B00UMUVF7A",true,569,"INR",964,395,40.98,2038,3.7,"https://www.amazon.in/dp/B00UMUVF7A","7540.60",false,false,false,true,"Chromozome Men Athletic Fit Cotton Track Pant","https://m.media-amazon.com/images/I/81wP4aErT4L._AC_UL400_.jpg"
3,27,147,"B09ZDRQ1C6",true,599,"INR",2697,2098,77.79,236,3.9,"https://www.amazon.in/dp/B09ZDRQ1C6","920.40",false,false,false,true,"VIMAL JONNEY Men Regular Fit Trackpants Pack of 3 Multicolor","https://m.media-amazon.com/images/I/61EJt8e9UCL._AC_UL400_.jpg"
3,28,148,"B07ND28DHL",true,263,"INR",539,276,51.21,2471,3.8,"https://www.amazon.in/dp/B07ND28DHL","9389.80",false,false,false,false,"Chromozome Men's Sports Shorts","https://m.media-amazon.com/images/I/81VcQVWPpYL._AC_UL400_.jpg"
3,29,149,"B07143TLLK",true,675,"INR",899,224,24.92,75,3.4,"https://www.amazon.in/dp/B07143TLLK","255.00",false,false,false,true,"Raymond Men's Unstitched 1.3 m Trouser Fabric (Smoke Grey, Free Size)","https://m.media-amazon.com/images/I/91FYzgMkMFL._AC_UL400_.jpg"
3,30,150,"B082DP5PW2",true,599,"INR",1999,1400,70.04,352,4.1,"https://www.amazon.in/dp/B082DP5PW2","1443.20",false,false,false,true,"Bacca Bucci® Men's Web Genuine leather Canvas Water-washed Belt Breathable Military Tactical Canvas Casual Belt for Men","https://m.media-amazon.com/images/I/71FfQVkvagL._AC_UL400_.jpg"
3,31,151,"B08L6R2PL7",true,299,"INR",499,200,40.08,6590,4.3,"https://www.amazon.in/dp/B08L6R2PL7","28337.00",false,false,false,true,"Gajraj Winter Knit Beanie Cap Hat Neck Warmer Scarf and Woolen Gloves Set for Men & Women (3 Piece)","https://m.media-amazon.com/images/I/81V0KodIXTL._AC_UL400_.jpg"
3,32,152,"B095F6M1YW",true,399,"INR",999,600,60.06,326,3.8,"https://www.amazon.in/dp/B095F6M1YW","1238.80",false,false,false,false,"JHABAK'S Premium Unstitched Shirt Fabric for Men Cotton Blend Material 2.25m Shirt Piece Cloth (White, Free Size)","https://m.media-amazon.com/images/I/717hDqH4GxS._AC_UL400_.jpg"
3,33,153,"B0BY56L55X",true,899,"INR",2699,1800,66.69,23,3.7,"https://www.amazon.in/dp/B0BY56L55X","85.10",false,false,false,true,"SWADESI STUFF Dry Fit Addi Track Suit Set for Men | Slim Fit Perfect for Jogging and Lounging","https://m.media-amazon.com/images/I/61kkRuK8tsL._AC_UL400_.jpg"
3,34,154,"B0BBG2H1NH",true,499,"INR",799,300,37.55,33,3.6,"https://www.amazon.in/dp/B0BBG2H1NH","118.80",false,false,false,true,"VRITRAZ Unisex Hip Hop Stylish Graffiti Printed Adjustable Cap","https://m.media-amazon.com/images/I/81seIg4MEWL._AC_UL400_.jpg"
3,35,155,"B08LVWFK2J",true,799,"INR",999,200,20.02,195,3.6,"https://www.amazon.in/dp/B08LVWFK2J","702.00",false,false,false,true,"Whitewhale Men's Loose Fit Cotton Trousers","https://m.media-amazon.com/images/I/71liwRRHS5L._AC_UL400_.jpg"
3,36,156,"B0BSS51FNR",true,549,"INR",1499,950,63.38,28,3.9,"https://www.amazon.in/dp/B0BSS51FNR","109.20",false,false,false,true,"JUST RIDER Men's Running Full Length Tights Compression Lower Sport Leggings Gym Fitness Sportswear Training Yoga Pants fo...","https://m.media-amazon.com/images/I/51qCeHK8XCL._AC_UL400_.jpg"
3,37,157,"B0C18LFFXS",true,499,"INR",1999,1500,75.04,3,2.5,"https://www.amazon.in/dp/B0C18LFFXS","7.50",false,false,false,true,"DHRUVI TRENDZ Night Dress for Men || Palm Tree Printed Rayon Night Dress || Beach Wear Summer Wear for Men || Sleepwear Lo...","https://m.media-amazon.com/images/I/61k-h8Q2C1L._AC_UL400_.jpg"
3,38,158,"B08YD5CCXC",true,429,"INR",940,511,54.36,866,3.8,"https://www.amazon.in/dp/B08YD5CCXC","3290.80",false,false,false,false,"ILU Cap for Men Women Topi Unisex Head Branded Boy's Girl's Caps Adjustable Strap Summer Sports Cricket Gym Dance Cotton F...","https://m.media-amazon.com/images/I/91+yD3UV+jL._AC_UL400_.jpg"
3,39,159,"B0B396N57L",true,999,"INR",2599,1600,61.56,1,5,"https://www.amazon.in/dp/B0B396N57L","5.00",false,false,false,true,"Amazon Brand - Symbol Men Casual Pants","https://m.media-amazon.com/images/I/61oRzu8XRtL._AC_UL400_.jpg"
3,40,160,"B079SG9NKF",true,615,"INR",899,284,31.59,32,3.5,"https://www.amazon.in/dp/B079SG9NKF","112.00",false,false,false,true,"Raymond Men's Unstitched PV 1.25 m Trouser Fabric (Black, Free Size)","https://m.media-amazon.com/images/I/517zF6aEmGL._AC_UL400_.jpg"
3,41,161,"B0BVWFQB38",true,333,"INR",999,666,66.67,3,3.3,"https://www.amazon.in/dp/B0BVWFQB38","9.90",false,false,false,true,"Premium Unstitched Shirt Fabric for Men Cotton Blend Material 2.25m Shirt Fabric","https://m.media-amazon.com/images/I/51Q8f1+BoKL._AC_UL400_.jpg"
3,42,162,"B01I778WNY",true,595,"INR",899,304,33.82,144,3.5,"https://www.amazon.in/dp/B01I778WNY","504.00",false,false,false,true,"Raymond Men's Unstitched Trouser Fabric (RYMD_PNT_LS_51A_Dark Blue_Free Size)","https://m.media-amazon.com/images/I/61eoUYfvVzL._AC_UL400_.jpg"
3,43,163,"B09M8C71CZ",true,799,"INR",2599,1800,69.26,2061,3.6,"https://www.amazon.in/dp/B09M8C71CZ","7419.60",false,false,false,true,"Kraasa Combo Slim Fit Athletic Track Pants | Joggers Gym Pants for Men | Casual Running Workout Pants with Pockets | Pack ...","https://m.media-amazon.com/images/I/71DDTnDGRIL._AC_UL400_.jpg"
3,44,164,"B08T7723BY",true,249,"INR",699,450,64.38,474,3.6,"https://www.amazon.in/dp/B08T7723BY","1706.40",false,false,false,true,"BISMAADH Unisex Balaclava Windproof UV Protection Anti-dust Windproof Face Cover Neck Warmer for Motorbike Cycling Outdoor...","https://m.media-amazon.com/images/I/81xeRPM-anL._AC_UL400_.jpg"
3,45,165,"B08B2G8BX5",true,1219,"INR",1399,180,12.87,48,3.9,"https://www.amazon.in/dp/B08B2G8BX5","187.20",false,false,false,true,"Arvind Men's and Women's Unstitched Cotton Stretchable Denim Fabric Jeans Cloth (Aqua Blue, Free Size, 1.30 Meter)","https://m.media-amazon.com/images/I/91vzqnP3koL._AC_UL400_.jpg"
3,47,167,"B08FJNZDW3",true,799,"INR",1699,900,52.97,2581,3.8,"https://www.amazon.in/dp/B08FJNZDW3","9807.80",false,false,false,true,"Amazon Brand - Inkast Denim Co. Men Regular Stretch Casual Pants","https://m.media-amazon.com/images/I/71o4-mxo2bL._AC_UL400_.jpg"
3,48,168,"B07D8RWRN1",true,699,"INR",3499,2800,80.02,375,3.7,"https://www.amazon.in/dp/B07D8RWRN1","1387.50",false,false,false,true,"VASTRAMAY Men's Egyptian Blue Cotton Blend Ethnic Jacket","https://m.media-amazon.com/images/I/71A0mQLcKwL._AC_UL400_.jpg"
3,49,169,"B07VLBK68F",true,379,"INR",699,320,45.78,2311,4.1,"https://www.amazon.in/dp/B07VLBK68F","9475.10",false,false,false,false,"SOXCO Activewear Sports Tab Hex-Comb Zoned Cushion Ankle Socks Men and Women, Pack of 3, (Free Size)","https://m.media-amazon.com/images/I/81ZfbZpei1L._AC_UL400_.jpg"
3,50,170,"B07SQCR8Z3",true,594,"INR",2500,1906,76.24,83,3.8,"https://www.amazon.in/dp/B07SQCR8Z3","315.40",false,false,false,true,"Maharaja Unstitched Handloom Fabric Kurta Piece (2m - 57panna) in Brown [MSP079]","https://m.media-amazon.com/images/I/81DiZ3z8IIL._AC_UL400_.jpg"
3,51,171,"B073WB9B64",true,780,"INR",867,87,10.03,13580,4.2,"https://www.amazon.in/dp/B073WB9B64","57036.00",false,false,false,true,"Van Heusen Men Briefs - 100% Combed Cotton - Pack of 3 - Anti Bacterial, Colour Fresh, Quick Dry","https://m.media-amazon.com/images/I/61lfvT4kRvL._AC_UL400_.jpg"
3,52,172,"B09F3RZCZW",true,149,"INR",599,450,75.13,993,4,"https://www.amazon.in/dp/B09F3RZCZW","3972.00",false,false,true,false,"Boldfit Gym Headband for Men and Women - Sports Headband for Workout & Running, Breathable, Non-Slip Sweat Head Bands for ...","https://m.media-amazon.com/images/I/61Ai4s88QoL._AC_UL400_.jpg"
3,53,173,"B0BXGY55N3",true,349,"INR",2299,1950,84.82,16,5,"https://www.amazon.in/dp/B0BXGY55N3","80.00",false,false,false,false,"GRECIILOOKS Casual Shirt for Men| Shirts for Men| Mens Shirt| Fit Poplin Solid Shirts for Men| Button Down Shirts | Beach ...","https://m.media-amazon.com/images/I/518DJAsyBSL._AC_UL400_.jpg"
3,54,174,"B0BVQKJJ3Z",true,299,"INR",1665,1366,82.04,373,4.2,"https://www.amazon.in/dp/B0BVQKJJ3Z","1566.60",false,false,false,false,"CHKOKKO Men Solid Gym Tank Tops Sleeveless Sports Vest","https://m.media-amazon.com/images/I/61Bw4bFETmL._AC_UL400_.jpg"
3,55,175,"B07NYQJ665",true,748,"INR",2499,1751,70.07,325,4,"https://www.amazon.in/dp/B07NYQJ665","1300.00",false,false,false,true,"ReDesign Apparels Mens Nylon Cutsleeves/Sleeveless Compression Top for Sports","https://m.media-amazon.com/images/I/51N2cr5MRRL._AC_UL400_.jpg"
3,56,176,"B07VGH7PBJ",true,849,"INR",1799,950,52.81,479,3.4,"https://www.amazon.in/dp/B07VGH7PBJ","1628.60",false,false,false,true,"Urbano Fashion Men's Slim Fit Joggers","https://m.media-amazon.com/images/I/7181XVmHIFL._AC_UL400_.jpg"
3,57,177,"B01DLS1ONO",true,398,"INR",539,141,26.16,602,4,"https://www.amazon.in/dp/B01DLS1ONO","2408.00",false,false,false,false,"Sponsored Ad - Chromozome Men's Cotton Pyjama Bottom","https://m.media-amazon.com/images/I/81JvjyJ7fHL._AC_UL400_.jpg"
3,58,178,"B07K5D5HP8",true,1360,"INR",1665,305,18.32,560,3.6,"https://www.amazon.in/dp/B07K5D5HP8","2016.00",false,false,true,true,"Sponsored Ad - Raymond 0-Degree Men's Unstitiched Fabric Suiting for Pant or Coat or Suit","https://m.media-amazon.com/images/I/A1ZVR2xkreL._AC_UL400_.jpg"
3,59,179,"B07H354YBT",true,499,"INR",1849,1350,73.01,18947,4,"https://www.amazon.in/dp/B07H354YBT","75788.00",false,false,false,true,"Sponsored Ad - Dennis Lingo Men Casual Shirts","https://m.media-amazon.com/images/I/611YN5PBi9L._AC_UL400_.jpg"
3,60,180,"B07B8KY95H",true,319,"INR",1299,980,75.44,9520,3.5,"https://www.amazon.in/dp/B07B8KY95H","33320.00",false,false,false,false,"Sponsored Ad - EYEBOGLER Men's Trendy Polo Neck Full Sleeves T-Shirt","https://m.media-amazon.com/images/I/51QMzFAmo7L._AC_UL400_.jpg"
